"loading...","chargement..."
"Continue shopping","Poursuivre vos achats"
"View cart & checkout","Aller au panier"
"You might also like:","Vous serez peut être intéressé par :"
"Loading box size","Taille de la fenêtre de chargement"
"Loading box size. e.g.: 260x50","Taille de la fenêtre de chargement. ex : 260x50"
"Confirm box size","Taille de la fenêtre de confirmation"
"Confirm box size. e.g.: 260x134","Taille de la fenêtre de confirmation. ex : 260x134"
"Image product size","Taille de l'image produit"
"Confirm box size. e.g.: 55x55","Taille de l'image produit. ex : 55x55"
"Show Popup","Montrer la fenêtre"
"Show popup when product is added.","Montrer le fenêtre lorsque le produit est ajouté au panier."
"Show associated products","Montrer les ventes incitatives"
"Show associated products in popup when product is added.","Montrer les ventes incitatives dans le fenêtre."
"Related number of element","Nombre de produits ventes incitatives"
"Related number of element to be shown.","Nombre de produits visualisable"
"Related number of element per line","Nombre de produits par ligne de ventes incitatives"
"Related image size","Taille des images ventes incitatives"
"%s was successfully added to your shopping cart.","%s a bien été ajouté à votre panier."
"Associated products","Produits associés"
"Associated list of products to be shown.","Liste de produits reliée au produit actif."
"Fast configuration","Configuration rapide"
"Fast configuration mode is a fast way to configure the module by using default magento product view page (Only for Magento 1.5.x or greater). For highly customized magento installation, set no and refer to our customization manual.","Le mode de configuration rapide permet la configuration du module en utilisant la page par défaut de vue produit (Uniquement pour Magento 1.5.x ou sup.). Pour les installation de magento hautement modifié, utiliser non et veuillez vous référer au manuel de customisation."
"Yes (only for Magento 1.5.x or greater)","Oui (Uniquement pour Magento 1.5.x ou sup.)"
